unit,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
CLV_PCH_PRE_HAB,B1GQ,CZ	: 	4.4 	-0.6 	-0.2 	1.6 	4.4 	3.5 	1.9 	3.6 	4.9 	6.2 	6.5 	5.0 	1.7 	-5.4 	2.0 	2.2 	-1.0 	-0.5 	1.8 	: 
CLV_PCH_PRE_HAB,B1GQ,DE	1.5 	0.6 	1.8 	2.1 	2.0 	2.9 	1.6 	-0.1 	-0.7 	1.3 	0.9 	3.9 	3.5 	1.4 	-5.3 	4.3 	3.7 	0.2 	0.0 	1.2 	1.0 
CLV_PCH_PRE_HAB,B1GQ,DK	: 	2.3 	2.8 	1.9 	2.6 	3.4 	0.5 	0.1 	0.1 	2.4 	2.1 	3.5 	0.4 	-1.3 	-5.6 	1.2 	0.7 	-0.4 	-0.6 	0.7 	: 
CLV_PCH_PRE_HAB,B1GQ,EA18	: 	1.4 	2.4 	2.7 	2.7 	3.5 	1.7 	0.4 	0.1 	1.7 	1.1 	2.7 	2.4 	-0.1 	-4.8 	1.8 	1.3 	-1.1 	-0.5 	0.7 	: 
CLV_PCH_PRE_HAB,B1GQ,EA19	: 	1.4 	2.4 	2.7 	2.7 	3.5 	1.8 	0.4 	0.1 	1.7 	1.1 	2.8 	2.5 	-0.1 	-4.9 	1.8 	1.3 	-1.1 	-0.5 	0.7 	: 
CLV_PCH_PRE_HAB,B1GQ,EE	: 	7.0 	13.3 	5.1 	0.1 	8.8 	7.0 	6.8 	8.1 	7.0 	10.0 	10.9 	8.4 	-5.1 	-14.6 	2.6 	7.9 	5.5 	2.0 	3.3 	: 
CLV_PCH_PRE_HAB,B1GQ,EL	: 	2.4 	4.0 	3.3 	2.7 	3.5 	3.6 	3.5 	5.5 	4.8 	0.3 	5.3 	3.0 	-0.6 	-4.6 	-5.6 	-9.0 p	-6.8 p	-2.5 p	1.0 p	: 
CLV_PCH_PRE_HAB,B1GQ,ES	: 	2.2 	3.3 	3.9 	4.1 	4.8 	3.5 	1.2 	1.3 	1.6 	1.8 	2.5 	1.8 	-0.5 	-4.4 	-0.4 	-1.4 	-2.7 p	-1.3 p	1.6 p	: 
CLV_PCH_PRE_HAB,B1GQ,EU28	: 	1.7 	2.6 	2.9 	2.8 	3.6 	2.0 	1.1 	0.9 	2.1 	1.6 	3.0 	2.7 	0.1 	-4.7 	1.7 	1.5 	-0.7 	0.0 	1.1 	: 
CLV_PCH_PRE_HAB,B1GQ,FI	3.8 	3.3 	5.9 	5.1 	4.2 	5.4 	2.3 	1.4 	1.8 	3.6 	2.4 	3.7 	4.7 	0.3 	-8.7 	2.5 	2.1 	-1.9 	-1.2 	-1.1 	: 
CLV_PCH_PRE_HAB,B1GQ,FR	1.7 	1.0 	2.0 	3.2 	2.9 	3.2 	1.2 	0.4 	0.1 	2.0 	0.8 	1.7 	1.7 	-0.4 	-3.4 	1.5 	1.6 	-0.3 	0.2 	-0.3 	: 
CLV_PCH_PRE_HAB,B1GQ,HR	: 	: 	: 	: 	: 	: 	6.5 	5.1 	5.6 	4.0 	4.1 	4.8 	5.1 	2.1 	-7.3 	-1.4 	0.0 	-1.9 	-0.8 	0.2 	: 
CLV_PCH_PRE_HAB,B1GQ,HU	: 	0.2 	3.6 	4.5 	3.5 	4.5 	4.1 	4.8 	4.1 	5.2 	4.6 	4.0 	0.6 	1.0 	-6.4 	1.0 	2.0 	-1.2 	2.2 	4.0 	: 
CLV_PCH_PRE_HAB,B1GQ,IE	: 	: 	: 	: 	9.6 	8.8 	4.2 	4.1 	2.2 	2.6 	4.0 	3.6 	2.4 	-4.2 	-6.5 	-0.1 	2.2 	-0.1 	1.2 	4.9 	: 
CLV_PCH_PRE_HAB,B1GQ,IS	: 	4.2 b	6.8 b	5.4 	2.9 	3.2 	2.3 	-0.4 	2.1 	7.0 	4.8 	1.3 	7.0 	-1.1 	-4.6 	-3.2 	1.7 	0.6 	2.9 	0.7 	: 
